,HQ3
2834,6
2835,0
2836,3
2837,3
2838,0
2839,3
2840,7
2841,0
2842,3
2843,21
2844,3
2845,7
2846,7
2847,21
2848,0
2849,3
2850,7
2851,0
2852,0
2853,10
2854,7
2855,3
2856,0
2857,0
2858,7
2859,10
2860,0
2861,6
2862,7
2863,0
2864,0
2865,6
2866,7
2867,10
2868,10
2869,0
2870,0
2871,3
2872,6
2873,0
2874,7
2875,6
2876,7
2877,7
2878,7
2879,0
2880,3
2881,0
2882,21
2883,0
2884,3
2885,3
2886,7
2887,3
2888,0
2889,10
2890,10
2891,14
2892,0
2893,0
2894,3
2895,7
2896,0
2897,14
2898,7
2899,7
2900,10
2901,3
2902,3
2903,7
2904,7
2905,0
2906,21
2907,7
2908,0
2909,3
2910,10
2911,3
2912,0
2913,7
2914,14
2915,0
2916,7
2917,8
2918,0
2919,0
2920,0
2921,7
2922,3
2923,11
2924,0
2925,3
2926,14
2927,3
2928,0
2929,0
2930,7
2931,7
2932,0
2933,7
2934,3
2935,10
2936,10
2937,10
2938,14
2939,7
2940,7
2941,7
2942,0
2943,3
2944,0
2945,14
2946,0
2947,7
2948,0
2949,7
2950,7
2951,7
2952,7
2953,3
2954,7
2955,0
2956,3
2957,0
2958,7
2959,3
2960,0
2961,7
2962,7
2963,7
2964,7
2965,0
2966,3
2967,0
2968,3
2969,0
2970,6
2971,10
2972,3
2973,0
2974,0
2975,0
2976,10
2977,0
2978,14
2979,14
2980,14
2981,3
2982,10
2983,7
2984,10
2985,0
2986,7
2987,0
2988,3
2989,10
